Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+LSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+LSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 10]  47/72       SELU+GELU      acc= 86.44  ETA  28.6m
[seed 40]  46/100       GELU+SiLU      acc= 86.60  ETA  63.3m
[seed 30]  48/100       GELU+SELU      acc= 86.64  ETA  58.9m
[seed 20]  48/100       GELU+SELU      acc= 86.04  ETA  59.0m
[seed 50]  48/100       GELU+SELU      acc= 86.06  ETA  59.4m
[seed 10]  48/72       SELU+SiLU      acc= 87.17  ETA  27.5m
[seed 40]  47/100       GELU+Mish      acc= 86.21  ETA  62.1m
[seed 30]  49/100       GELU+PReLU     acc= 85.90  ETA  57.7m
[seed 20]  49/100       GELU+PReLU     acc= 86.82  ETA  57.9m
[seed 50]  49/100       GELU+PReLU     acc= 87.15  ETA  58.4m
[seed 10]  49/72       SELU+Mish      acc= 87.37  ETA  26.3m
[seed 40]  48/100       GELU+SELU      acc= 87.57  ETA  60.9m
[seed 30]  50/100       GELU+Hardswish acc= 87.02  ETA  56.7m
[seed 20]  50/100       GELU+Hardswish acc= 86.86  ETA  56.9m
[seed 50]  50/100       GELU+Hardswish acc= 87.29  ETA  57.2m
[seed 10]  50/72       SELU+SELU      acc= 86.29  ETA  25.2m
[seed 40]  49/100       GELU+PReLU     acc= 86.91  ETA  59.7m
[seed 20]  51/100       SiLU+ReLU      acc= 86.59  ETA  55.5m
[seed 30]  51/100       SiLU+ReLU      acc= 86.77  ETA  55.6m
[seed 50]  51/100       SiLU+ReLU      acc= 86.58  ETA  55.9m
[seed 10]  51/72       SELU+PReLU     acc= 85.47  ETA  24.0m
[seed 40]  50/100       GELU+Hardswish acc= 86.61  ETA  58.6m
[seed 20]  52/100       SiLU+ELU       acc= 86.53  ETA  54.4m
[seed 30]  52/100       SiLU+ELU       acc= 86.99  ETA  54.5m
[seed 50]  52/100       SiLU+ELU       acc= 86.85  ETA  54.9m
[seed 10]  52/72       SELU+Hardswish acc= 86.73  ETA  22.9m
[seed 40]  51/100       SiLU+ReLU      acc= 87.21  ETA  57.4m
[seed 20]  53/100       SiLU+LeakyReLU acc= 87.46  ETA  53.1m
[seed 30]  53/100       SiLU+LeakyReLU acc= 86.25  ETA  53.5m
[seed 50]  53/100       SiLU+LeakyReLU acc= 86.65  ETA  53.8m
[seed 40]  52/100       SiLU+ELU       acc= 85.37  ETA  56.1m
[seed 10]  53/72      PReLU+ReLU      acc= 86.92  ETA  21.8m
[seed 20]  54/100       SiLU+Tanh      acc= 87.32  ETA  52.0m
[seed 30]  54/100       SiLU+Tanh      acc= 87.41  ETA  52.3m
[seed 50]  54/100       SiLU+Tanh      acc= 87.02  ETA  52.5m
[seed 10]  54/72      PReLU+ELU       acc= 87.71  ETA  20.6m
[seed 40]  53/100       SiLU+LeakyReLU acc= 86.75  ETA  54.9m
[seed 20]  55/100       SiLU+GELU      acc= 86.39  ETA  50.9m
[seed 30]  55/100       SiLU+GELU      acc= 86.85  ETA  51.1m
