architecture,act1,act2,n_seeds,acc_mean,acc_std,acc_ci95,acc_min,acc_max,f1_mean,f1_std,prec_mean,rec_mean,pr_gap,rank_global,rank_in_arch
BiGRU+BiGRU,Tanh,SiLU,5,87.332,0.485,0.602,86.52,87.72,87.218,1.022,88.014,86.708,1.306,171,89
BiGRU+GRU,Tanh,PReLU,5,87.326,0.222,0.276,87.06,87.56,87.172,0.353,88.252,86.172,2.08,174,84
BiGRU+GRU,ReLU,ELU,5,87.322,0.668,0.83,86.45,87.92,87.186,1.043,88.086,86.456,1.63,175,85
BiGRU+BiGRU,ELU,SELU,5,87.32,0.27,0.335,86.88,87.52,87.424,0.443,86.706,88.188,1.482,176,91
BiGRU+BiGRU,ReLU,SELU,5,87.316,0.35,0.434,86.92,87.68,87.22,0.464,87.93,86.596,1.334,177,92
BiGRU+GRU,ReLU,PReLU,5,87.31,0.207,0.257,87.13,87.57,87.164,0.547,88.196,86.284,1.912,178,86
BiGRU+GRU,ReLU,SiLU,5,87.304,0.549,0.682,86.33,87.61,87.198,0.93,87.902,86.62,1.282,179,87
BiGRU+BiGRU,ELU,Mish,5,87.298,0.366,0.455,86.66,87.59,87.256,0.849,87.548,87.16,0.388,180,93
BiGRU+BiGRU,Tanh,Tanh,5,87.296,0.201,0.25,87.01,87.5,87.094,0.632,88.53,85.864,2.666,181,94
BiGRU+GRU,Mish,LeakyReLU,5,87.29,0.546,0.678,86.4,87.76,87.234,0.899,87.562,87.012,0.55,182,88
BiGRU+GRU,LeakyReLU,SELU,5,87.28,0.457,0.567,86.93,88.08,87.206,0.603,87.756,86.76,0.996,183,89
BiGRU+GRU,Hardswish,ELU,5,87.28,0.392,0.487,86.63,87.62,87.114,0.77,88.266,86.136,2.13,183,89
BiGRU+BiGRU,LeakyReLU,ELU,5,87.268,0.289,0.358,87.02,87.68,87.308,0.489,87.038,87.64,0.602,185,95
BiGRU+BiGRU,GELU,SELU,5,87.266,0.351,0.436,86.69,87.63,87.11,0.571,88.208,86.112,2.096,186,96
BiGRU+BiGRU,SELU,SiLU,5,87.26,0.44,0.546,86.48,87.54,87.134,0.918,88.014,86.476,1.538,187,97
BiGRU+GRU,SELU,PReLU,5,87.252,0.319,0.396,86.89,87.61,87.03,0.716,88.594,85.676,2.918,188,91
BiGRU+GRU,SiLU,ReLU,5,87.234,0.439,0.545,86.76,87.75,87.234,0.793,87.226,87.38,0.154,189,92
BiGRU+GRU,ELU,ReLU,5,87.218,0.65,0.807,86.32,87.98,87.082,1.08,87.978,86.372,1.606,190,93
BiGRU+BiGRU,Tanh,ELU,5,87.212,0.276,0.342,86.83,87.47,87.322,0.295,86.57,88.1,1.53,191,98
BiGRU+GRU,ELU,LeakyReLU,5,87.21,0.51,0.633,86.55,87.75,87.026,0.838,88.262,85.92,2.342,192,94
BiGRU+GRU,Tanh,SELU,5,87.206,0.246,0.306,86.86,87.49,87.274,0.415,86.874,87.8,0.926,193,95
BiGRU+GRU,ELU,SELU,5,87.2,0.34,0.422,86.7,87.6,87.052,0.768,88.068,86.216,1.852,194,96
BiGRU+BiGRU,SELU,ELU,5,87.196,0.46,0.571,86.47,87.69,86.982,0.879,88.46,85.728,2.732,195,99
BiGRU+GRU,ReLU,SELU,5,87.186,0.777,0.965,85.82,87.67,86.978,1.224,88.34,85.8,2.54,196,97
BiLSTM+LSTM,Hardswish,SiLU,5,87.164,0.492,0.61,86.4,87.65,87.1,0.775,87.578,86.816,0.762,197,1
BiGRU+GRU,Tanh,Tanh,5,87.15,0.272,0.337,86.91,87.53,87.084,0.612,87.55,86.756,0.794,198,98
BiLSTM+LSTM,ReLU,GELU,5,87.15,0.401,0.498,86.68,87.69,87.278,0.41,86.436,88.164,1.728,198,2
BiGRU+BiGRU,SELU,Tanh,5,87.142,0.313,0.389,86.72,87.5,86.858,0.683,88.822,85.088,3.734,200,100
BiLSTM+BiLSTM,ReLU,Hardswish,5,87.136,0.261,0.324,86.83,87.53,86.976,0.21,88.11,85.908,2.202,201,1
BiLSTM+BiLSTM,LeakyReLU,Mish,5,87.126,0.272,0.338,86.88,87.59,87.0,0.419,87.86,86.188,1.672,202,2
