architecture,act1,act2,single_seed_acc,multiseed_mean,delta,multiseed_std,ci95,acc_min,acc_max,within_ci,single_rank,multiseed_rank,rank_change,abs_delta,abs_rank_change
BiGRU+GRU,Hardswish,ELU,87.12,87.28,0.16,0.392,0.487,86.63,87.62,True,83,89,-6,0.16,6
BiGRU+GRU,SELU,PReLU,87.65,87.252,-0.398,0.319,0.396,86.89,87.61,False,33,91,-58,0.398,58
BiGRU+GRU,SiLU,ReLU,86.63,87.234,0.604,0.439,0.545,86.76,87.75,False,94,92,2,0.604,2
BiGRU+GRU,ELU,ReLU,87.99,87.218,-0.772,0.65,0.807,86.32,87.98,True,7,93,-86,0.772,86
BiGRU+GRU,ELU,LeakyReLU,87.92,87.21,-0.71,0.51,0.633,86.55,87.75,False,13,94,-81,0.71,81
BiGRU+GRU,Tanh,SELU,86.49,87.206,0.716,0.246,0.306,86.86,87.49,False,97,95,2,0.716,2
BiGRU+GRU,ELU,SELU,87.96,87.2,-0.76,0.34,0.422,86.7,87.6,False,9,96,-87,0.76,87
BiGRU+GRU,ReLU,SELU,87.35,87.186,-0.164,0.777,0.965,85.82,87.67,True,60,97,-37,0.164,37
BiGRU+GRU,Tanh,Tanh,87.21,87.15,-0.06,0.272,0.337,86.91,87.53,True,79,98,-19,0.06,19
BiGRU+GRU,SELU,LeakyReLU,87.58,87.124,-0.456,0.329,0.408,86.73,87.5,False,39,99,-60,0.456,60
BiGRU+GRU,Tanh,ReLU,86.89,87.116,0.226,0.509,0.632,86.25,87.53,True,92,100,-8,0.226,8
BiLSTM+BiLSTM,ReLU,Hardswish,87.0,87.136,0.136,0.261,0.324,86.83,87.53,True,40,1,39,0.136,39
BiLSTM+BiLSTM,LeakyReLU,Mish,86.51,87.126,0.616,0.272,0.338,86.88,87.59,False,73,2,71,0.616,71
BiLSTM+BiLSTM,PReLU,SiLU,86.52,87.126,0.606,0.546,0.678,86.42,87.68,True,72,2,70,0.606,70
BiLSTM+BiLSTM,Hardswish,Tanh,86.69,87.064,0.374,0.346,0.43,86.57,87.38,True,59,4,55,0.374,55
BiLSTM+BiLSTM,GELU,Mish,86.61,87.056,0.446,0.31,0.385,86.61,87.44,False,65,5,60,0.446,60
BiLSTM+BiLSTM,ReLU,ReLU,86.85,87.042,0.192,0.237,0.294,86.85,87.41,True,50,6,44,0.192,44
BiLSTM+BiLSTM,SiLU,ELU,86.3,87.034,0.734,0.659,0.818,85.97,87.67,True,87,7,80,0.734,80
BiLSTM+BiLSTM,Mish,SiLU,86.36,87.03,0.67,0.402,0.499,86.66,87.64,False,84,8,76,0.67,76
BiLSTM+BiLSTM,ReLU,ELU,87.46,87.022,-0.438,0.306,0.38,86.71,87.45,False,5,9,-4,0.438,4
BiLSTM+BiLSTM,PReLU,ELU,86.94,87.014,0.074,0.442,0.549,86.5,87.35,True,46,10,36,0.074,36
BiLSTM+BiLSTM,ReLU,Tanh,86.54,87.004,0.464,0.633,0.786,86.12,87.82,True,70,11,59,0.464,59
