Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiLSTM+BiLSTM
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiLSTM+BiLSTM_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 30]  50/100       GELU+Hardswish acc= 85.51  ETA  52.2m
[seed 50]  50/100       GELU+Hardswish acc= 86.73  ETA  52.3m
[seed 10]  51/100       SiLU+ReLU      acc= 87.16  ETA  50.4m
[seed 40]  50/100       GELU+Hardswish acc= 87.21  ETA  53.1m
[seed 30]  51/100       SiLU+ReLU      acc= 86.73  ETA  51.1m
[seed 20]  47/100       GELU+Mish      acc= 87.44  ETA  60.0m
[seed 50]  51/100       SiLU+ReLU      acc= 86.86  ETA  51.3m
[seed 10]  52/100       SiLU+ELU       acc= 85.97  ETA  49.3m
[seed 30]  52/100       SiLU+ELU       acc= 87.67  ETA  50.1m
[seed 40]  51/100       SiLU+ReLU      acc= 86.74  ETA  52.2m
[seed 10]  53/100       SiLU+LeakyReLU acc= 87.26  ETA  48.2m
[seed 20]  48/100       GELU+SELU      acc= 87.50  ETA  58.9m
[seed 50]  52/100       SiLU+ELU       acc= 87.03  ETA  50.3m
[seed 20]  49/100       GELU+PReLU     acc= 85.37  ETA  57.5m
[seed 30]  53/100       SiLU+LeakyReLU acc= 86.39  ETA  49.0m
[seed 40]  52/100       SiLU+ELU       acc= 87.02  ETA  51.2m
[seed 50]  53/100       SiLU+LeakyReLU acc= 86.32  ETA  49.3m
[seed 10]  54/100       SiLU+Tanh      acc= 87.34  ETA  47.3m
[seed 20]  50/100       GELU+Hardswish acc= 85.23  ETA  56.1m
[seed 30]  54/100       SiLU+Tanh      acc= 86.48  ETA  48.0m
[seed 40]  53/100       SiLU+LeakyReLU acc= 86.18  ETA  50.0m
[seed 50]  54/100       SiLU+Tanh      acc= 86.95  ETA  48.2m
[seed 10]  55/100       SiLU+GELU      acc= 86.60  ETA  46.3m
[seed 20]  51/100       SiLU+ReLU      acc= 86.57  ETA  55.0m
[seed 40]  54/100       SiLU+Tanh      acc= 86.54  ETA  48.8m
[seed 30]  55/100       SiLU+GELU      acc= 87.33  ETA  47.1m
[seed 50]  55/100       SiLU+GELU      acc= 86.66  ETA  47.2m
