Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiGRU+GRU
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiGRU+GRU_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 20]   7/100       ReLU+Mish      acc= 87.96  ETA  73.3m
[seed 10]   7/100       ReLU+Mish      acc= 86.17  ETA  74.9m
[seed 30]   7/100       ReLU+Mish      acc= 87.67  ETA  74.9m
[seed 50]   8/100       ReLU+SELU      acc= 87.32  ETA  70.6m
[seed 20]   8/100       ReLU+SELU      acc= 87.47  ETA  72.0m
[seed 40]   8/100       ReLU+SELU      acc= 87.65  ETA  73.3m
[seed 30]   8/100       ReLU+SELU      acc= 85.82  ETA  73.4m
[seed 10]   8/100       ReLU+SELU      acc= 87.67  ETA  74.9m
[seed 50]   9/100       ReLU+PReLU     acc= 87.13  ETA  69.7m
[seed 30]   9/100       ReLU+PReLU     acc= 87.13  ETA  72.2m
[seed 20]   9/100       ReLU+PReLU     acc= 87.23  ETA  72.2m
[seed 40]   9/100       ReLU+PReLU     acc= 87.57  ETA  73.3m
[seed 10]   9/100       ReLU+PReLU     acc= 87.49  ETA  74.6m
[seed 50]  10/100       ReLU+Hardswish acc= 87.50  ETA  68.7m
[seed 30]  10/100       ReLU+Hardswish acc= 87.90  ETA  71.0m
[seed 20]  10/100       ReLU+Hardswish acc= 87.59  ETA  71.0m
[seed 40]  10/100       ReLU+Hardswish acc= 87.59  ETA  71.9m
[seed 10]  10/100       ReLU+Hardswish acc= 86.81  ETA  73.2m
[seed 50]  11/100        ELU+ReLU      acc= 87.36  ETA  67.8m
[seed 20]  11/100        ELU+ReLU      acc= 87.59  ETA  69.9m
[seed 30]  11/100        ELU+ReLU      acc= 86.84  ETA  70.8m
[seed 40]  11/100        ELU+ReLU      acc= 87.98  ETA  71.7m
[seed 10]  11/100        ELU+ReLU      acc= 86.32  ETA  71.8m
[seed 50]  12/100        ELU+ELU       acc= 87.58  ETA  67.0m
[seed 20]  12/100        ELU+ELU       acc= 87.59  ETA  68.8m
[seed 40]  12/100        ELU+ELU       acc= 87.93  ETA  70.4m
[seed 30]  12/100        ELU+ELU       acc= 87.54  ETA  70.6m
[seed 10]  12/100        ELU+ELU       acc= 86.66  ETA  70.6m
[seed 50]  13/100        ELU+LeakyReLU acc= 87.56  ETA  66.1m
[seed 20]  13/100        ELU+LeakyReLU acc= 87.38  ETA  67.8m
[seed 10]  13/100        ELU+LeakyReLU acc= 86.55  ETA  69.5m
[seed 30]  13/100        ELU+LeakyReLU acc= 86.81  ETA  69.5m
[seed 40]  13/100        ELU+LeakyReLU acc= 87.75  ETA  70.1m
[seed 50]  14/100        ELU+Tanh      acc= 87.62  ETA  65.3m
[seed 20]  14/100        ELU+Tanh      acc= 87.14  ETA  66.9m
[seed 10]  14/100        ELU+Tanh      acc= 87.39  ETA  68.4m
[seed 30]  14/100        ELU+Tanh      acc= 87.26  ETA  68.4m
[seed 40]  14/100        ELU+Tanh      acc= 87.73  ETA  68.9m
[seed 50]  15/100        ELU+GELU      acc= 87.75  ETA  64.5m
[seed 20]  15/100        ELU+GELU      acc= 87.68  ETA  65.9m
[seed 30]  15/100        ELU+GELU      acc= 86.64  ETA  67.3m
[seed 40]  15/100        ELU+GELU      acc= 87.76  ETA  67.8m
[seed 10]  15/100        ELU+GELU      acc= 87.76  ETA  68.0m
[seed 50]  16/100        ELU+SiLU      acc= 87.58  ETA  63.7m
