arch,act1,act2,acc_mean,acc_std,acc_ci95,f1_mean,prec_mean,rec_mean
BiGRU+BiGRU,ELU,Mish,87.298,0.366,0.455,87.256,87.548,87.16
BiGRU+BiGRU,Tanh,Tanh,87.296,0.201,0.25,87.094,88.53,85.864
BiGRU+GRU,Mish,LeakyReLU,87.29,0.546,0.678,87.234,87.562,87.012
BiGRU+GRU,LeakyReLU,SELU,87.28,0.457,0.567,87.206,87.756,86.76
BiGRU+GRU,Hardswish,ELU,87.28,0.392,0.487,87.114,88.266,86.136
BiGRU+BiGRU,LeakyReLU,ELU,87.268,0.289,0.358,87.308,87.038,87.64
BiGRU+BiGRU,GELU,SELU,87.266,0.351,0.436,87.11,88.208,86.112
BiGRU+BiGRU,SELU,SiLU,87.26,0.44,0.546,87.134,88.014,86.476
BiGRU+GRU,SELU,PReLU,87.252,0.319,0.396,87.03,88.594,85.676
BiGRU+GRU,SiLU,ReLU,87.234,0.439,0.545,87.234,87.226,87.38
BiGRU+GRU,ELU,ReLU,87.218,0.65,0.807,87.082,87.978,86.372
BiGRU+BiGRU,Tanh,ELU,87.212,0.276,0.342,87.322,86.57,88.1
BiGRU+GRU,ELU,LeakyReLU,87.21,0.51,0.633,87.026,88.262,85.92
BiGRU+GRU,Tanh,SELU,87.206,0.246,0.306,87.274,86.874,87.8
BiGRU+GRU,ELU,SELU,87.2,0.34,0.422,87.052,88.068,86.216
BiGRU+BiGRU,SELU,ELU,87.196,0.46,0.571,86.982,88.46,85.728
BiGRU+GRU,ReLU,SELU,87.186,0.777,0.965,86.978,88.34,85.8
BiLSTM+LSTM,Hardswish,SiLU,87.164,0.492,0.61,87.1,87.578,86.816
BiGRU+GRU,Tanh,Tanh,87.15,0.272,0.337,87.084,87.55,86.756
BiLSTM+LSTM,ReLU,GELU,87.15,0.401,0.498,87.278,86.436,88.164
BiGRU+BiGRU,SELU,Tanh,87.142,0.313,0.389,86.858,88.822,85.088
BiLSTM+BiLSTM,ReLU,Hardswish,87.136,0.261,0.324,86.976,88.11,85.908
BiLSTM+BiLSTM,LeakyReLU,Mish,87.126,0.272,0.338,87.0,87.86,86.188
BiLSTM+BiLSTM,PReLU,SiLU,87.126,0.546,0.678,87.188,86.786,87.62
BiGRU+GRU,SELU,LeakyReLU,87.124,0.329,0.408,87.014,87.91,86.316
BiGRU+GRU,Tanh,ReLU,87.116,0.509,0.632,87.08,87.33,87.052
BiLSTM+LSTM,LeakyReLU,GELU,87.108,0.48,0.596,87.27,86.23,88.372
BiLSTM+LSTM,LeakyReLU,ReLU,87.07,0.622,0.773,86.98,87.61,86.392
BiLSTM+BiLSTM,Hardswish,Tanh,87.064,0.346,0.43,87.088,86.96,87.264
BiLSTM+LSTM,PReLU,Hardswish,87.062,0.231,0.287,87.024,87.266,86.808
BiLSTM+LSTM,ReLU,ReLU,87.06,0.457,0.568,87.06,87.076,87.092
BiLSTM+BiLSTM,GELU,Mish,87.056,0.31,0.385,86.958,87.634,86.356
BiLSTM+LSTM,PReLU,SELU,87.046,0.251,0.312,87.122,86.664,87.736
BiLSTM+LSTM,ELU,Mish,87.044,0.297,0.369,87.232,85.978,88.528
BiLSTM+BiLSTM,ReLU,ReLU,87.042,0.237,0.294,87.124,86.574,87.732
BiLSTM+BiLSTM,SiLU,ELU,87.034,0.659,0.818,86.856,88.02,85.844
BiLSTM+BiLSTM,Mish,SiLU,87.03,0.402,0.499,86.962,87.41,86.556
BiLSTM+LSTM,ReLU,Tanh,87.024,0.398,0.494,87.194,86.076,88.36
BiLSTM+BiLSTM,ReLU,ELU,87.022,0.306,0.38,87.084,86.69,87.56
BiLSTM+LSTM,GELU,ELU,87.014,0.5,0.621,86.982,87.162,86.852
BiLSTM+BiLSTM,PReLU,ELU,87.014,0.442,0.549,87.028,86.982,87.112
BiLSTM+BiLSTM,ReLU,Tanh,87.004,0.633,0.786,86.942,87.312,86.608
BiLSTM+BiLSTM,SELU,LeakyReLU,87.002,0.433,0.538,87.034,86.85,87.284
BiLSTM+BiLSTM,SELU,SiLU,87.002,0.378,0.469,86.872,87.732,86.096
BiLSTM+BiLSTM,GELU,ELU,86.99,0.364,0.452,86.926,87.374,86.508
BiLSTM+BiLSTM,GELU,ReLU,86.986,0.547,0.679,86.91,87.4,86.52
BiLSTM+LSTM,SiLU,Tanh,86.984,0.465,0.578,87.092,86.388,87.848
BiLSTM+LSTM,Tanh,SiLU,86.974,0.537,0.667,86.912,87.272,86.616
BiLSTM+BiLSTM,GELU,LeakyReLU,86.956,0.18,0.223,87.138,85.968,88.4
BiLSTM+BiLSTM,Mish,ELU,86.95,0.496,0.615,86.92,87.114,86.796
BiLSTM+BiLSTM,LeakyReLU,ReLU,86.94,0.67,0.831,86.824,87.596,86.128
BiLSTM+LSTM,LeakyReLU,Mish,86.936,0.55,0.683,87.058,86.238,87.912
BiLSTM+LSTM,GELU,Hardswish,86.932,0.249,0.309,86.812,87.63,86.016
BiLSTM+LSTM,ELU,Tanh,86.93,0.457,0.568,87.008,86.496,87.536
BiLSTM+LSTM,SiLU,SiLU,86.926,0.187,0.233,86.904,87.062,86.788
BiLSTM+BiLSTM,SiLU,Tanh,86.92,0.404,0.501,86.73,88.01,85.488
BiLSTM+BiLSTM,PReLU,Tanh,86.92,0.319,0.395,87.048,86.216,87.9
BiLSTM+BiLSTM,GELU,GELU,86.912,0.33,0.409,86.786,87.668,85.976
BiLSTM+LSTM,ELU,Hardswish,86.91,0.551,0.684,86.962,86.622,87.396
BiLSTM+LSTM,LeakyReLU,ELU,86.908,0.341,0.423,86.984,86.514,87.496
