Device : cuda
GPU    : NVIDIA GeForce RTX 5080
======================================================================
FULL 5-SEED SWEEP  --  BiGRU+BiGRU
  100 cells x 5 seeds [10, 20, 30, 40, 50] = 500 runs
  output: BiGRU+BiGRU_5_seed_variance_results/
======================================================================

[1/4] Preparing data cache ...
  cache hit: cache\sweep_data

[2/4] Preflight skipped (--preflight to enable)

[3/4] Launching 5 workers, one per seed ...

Device : cuda
[seed 10]  42/100       GELU+ELU       acc= 87.41  ETA  45.2m
[seed 20]  40/100       Tanh+Hardswish acc= 87.62  ETA  49.5m
[seed 40]  42/100       GELU+ELU       acc= 87.26  ETA  46.0m
[seed 30]  40/100       Tanh+Hardswish acc= 87.47  ETA  50.0m
[seed 10]  43/100       GELU+LeakyReLU acc= 87.02  ETA  44.5m
[seed 50]  40/100       Tanh+Hardswish acc= 87.71  ETA  50.4m
[seed 20]  41/100       GELU+ReLU      acc= 87.11  ETA  48.7m
[seed 40]  43/100       GELU+LeakyReLU acc= 87.36  ETA  45.3m
[seed 30]  41/100       GELU+ReLU      acc= 87.87  ETA  49.1m
[seed 10]  44/100       GELU+Tanh      acc= 87.05  ETA  43.8m
[seed 50]  41/100       GELU+ReLU      acc= 87.71  ETA  49.5m
[seed 20]  42/100       GELU+ELU       acc= 87.65  ETA  47.8m
[seed 30]  42/100       GELU+ELU       acc= 87.67  ETA  48.3m
[seed 40]  44/100       GELU+Tanh      acc= 86.74  ETA  44.5m
[seed 10]  45/100       GELU+GELU      acc= 87.66  ETA  43.0m
[seed 50]  42/100       GELU+ELU       acc= 87.71  ETA  48.7m
[seed 20]  43/100       GELU+LeakyReLU acc= 86.98  ETA  47.0m
[seed 30]  43/100       GELU+LeakyReLU acc= 87.62  ETA  47.4m
[seed 40]  45/100       GELU+GELU      acc= 87.42  ETA  43.7m
[seed 10]  46/100       GELU+SiLU      acc= 87.46  ETA  42.3m
[seed 50]  43/100       GELU+LeakyReLU acc= 87.77  ETA  47.8m
[seed 20]  44/100       GELU+Tanh      acc= 87.49  ETA  46.2m
[seed 40]  46/100       GELU+SiLU      acc= 87.16  ETA  42.8m
[seed 30]  44/100       GELU+Tanh      acc= 87.58  ETA  46.6m
[seed 10]  47/100       GELU+Mish      acc= 87.34  ETA  41.4m
[seed 50]  44/100       GELU+Tanh      acc= 87.80  ETA  46.9m
[seed 20]  45/100       GELU+GELU      acc= 87.79  ETA  45.4m
[seed 40]  47/100       GELU+Mish      acc= 87.13  ETA  42.0m
[seed 30]  45/100       GELU+GELU      acc= 87.90  ETA  45.8m
[seed 10]  48/100       GELU+SELU      acc= 87.41  ETA  40.7m
[seed 50]  45/100       GELU+GELU      acc= 87.74  ETA  46.1m
[seed 40]  48/100       GELU+SELU      acc= 87.25  ETA  41.1m
[seed 20]  46/100       GELU+SiLU      acc= 87.50  ETA  44.5m
[seed 10]  49/100       GELU+PReLU     acc= 87.45  ETA  39.8m
[seed 30]  46/100       GELU+SiLU      acc= 87.75  ETA  44.9m
[seed 50]  46/100       GELU+SiLU      acc= 88.13  ETA  45.3m
[seed 40]  49/100       GELU+PReLU     acc= 87.55  ETA  40.3m
[seed 20]  47/100       GELU+Mish      acc= 87.57  ETA  43.8m
[seed 10]  50/100       GELU+Hardswish acc= 87.45  ETA  39.1m
[seed 30]  47/100       GELU+Mish      acc= 87.83  ETA  44.1m
[seed 50]  47/100       GELU+Mish      acc= 87.77  ETA  44.4m
[seed 40]  50/100       GELU+Hardswish acc= 87.88  ETA  39.5m
[seed 20]  48/100       GELU+SELU      acc= 87.35  ETA  42.9m
[seed 10]  51/100       SiLU+ReLU      acc= 87.23  ETA  38.3m
[seed 30]  48/100       GELU+SELU      acc= 86.69  ETA  43.4m
[seed 50]  48/100       GELU+SELU      acc= 87.63  ETA  43.6m
[seed 40]  51/100       SiLU+ReLU      acc= 87.75  ETA  38.8m
[seed 20]  49/100       GELU+PReLU     acc= 87.01  ETA  42.1m
[seed 10]  52/100       SiLU+ELU       acc= 87.37  ETA  37.5m
[seed 30]  49/100       GELU+PReLU     acc= 87.70  ETA  42.6m
[seed 50]  49/100       GELU+PReLU     acc= 87.64  ETA  42.7m
[seed 40]  52/100       SiLU+ELU       acc= 86.85  ETA  37.9m
[seed 20]  50/100       GELU+Hardswish acc= 87.60  ETA  41.3m
[seed 10]  53/100       SiLU+LeakyReLU acc= 87.68  ETA  36.6m
[seed 30]  50/100       GELU+Hardswish acc= 87.65  ETA  41.7m
[seed 50]  50/100       GELU+Hardswish acc= 87.86  ETA  41.9m
[seed 40]  53/100       SiLU+LeakyReLU acc= 87.92  ETA  37.1m
[seed 20]  51/100       SiLU+ReLU      acc= 86.88  ETA  40.4m
[seed 10]  54/100       SiLU+Tanh      acc= 86.93  ETA  35.9m
[seed 30]  51/100       SiLU+ReLU      acc= 87.67  ETA  40.9m
[seed 50]  51/100       SiLU+ReLU      acc= 87.50  ETA  41.0m
[seed 40]  54/100       SiLU+Tanh      acc= 87.28  ETA  36.4m
[seed 20]  52/100       SiLU+ELU       acc= 87.25  ETA  39.6m
[seed 10]  55/100       SiLU+GELU      acc= 87.58  ETA  35.1m
[seed 30]  52/100       SiLU+ELU       acc= 87.73  ETA  40.1m
[seed 40]  55/100       SiLU+GELU      acc= 87.45  ETA  35.6m
[seed 50]  52/100       SiLU+ELU       acc= 87.89  ETA  40.3m
[seed 20]  53/100       SiLU+LeakyReLU acc= 87.37  ETA  38.8m
[seed 10]  56/100       SiLU+SiLU      acc= 87.55  ETA  34.4m
[seed 30]  53/100       SiLU+LeakyReLU acc= 87.71  ETA  39.2m
[seed 40]  56/100       SiLU+SiLU      acc= 87.09  ETA  34.8m
